연번,시군,시설종류,시설명,소재지,연락처,정원,현원
23,포항시,노인요양공동생활가정,선재원,포항시 북구 칠성로 47번길 4(남빈동),054-231-4445,9,9
24,포항시,노인요양공동생활가정,엘림사랑의집다동,포항시 북구 동해대로 2792-100(송라면),054-248-6797,9,9
25,포항시,노인요양시설,보금자리요양원,포항시 북구 장량로 128번길 28-7,054-254-7707,49,48
26,포항시,노인요양공동생활가정,엘림사랑의집나동,포항시 북구 동해대로 2792-100,054-246-2115,9,9
27,포항시,노인요양시설,갈릴리마을,포항시 북구 청하면 사방공원길 496,054-244-9091,40,14
28,포항시,노인요양시설,실버힐하우스,포항시 북구 신광면 비학로 697번길95,054-255-5511,62,60
29,포항시,노인요양시설,포항원광보은의집,포항시 북구 소티재로151번길 36,054-244-3844,67,58
30,포항시,노인요양공동생활가정,엘림사랑의집,포항시 북구 동해대로 2792-100,054-256-7227,9,9
31,포항시,노인요양시설,하얀연꽃마을,포항시 북구 흥해읍 동해대로 1393번길 111-96,054-261-9007,45,33
32,포항시,노인요양시설,백세요양원,포항시 북구 흥해읍 동해대로 1393번길 111-101,054-261-9007,25,24
33,포항시,노인요양시설,포항요양원,포항시 북구 장량로 226번길 21-10,054-253-010,16,16
34,포항시,노인요양시설,드림요양원,포항시 북구 불종로 78-6,054-249-5500,29,26
35,포항시,노인요양공동생활가정,포항원광은혜의집,포항시 북구 새천년대로 484번길 17,054-282-5608,9,9
36,포항시,노인요양시설,나오미요양원,포항시 북구 흥해읍 용연길 266번길 50-29,054-262-5214,18,18
37, 포항시 ,노인요양공동생활가정,닥터스요양센터,포항시 북구 중흥로220 번길 비전빌딩 2층,054-614-1004,9,9
38,포항시,노인요양시설,그리심요양원,포항시 북구 기계면 성계길96번길 63-45,054-255-0675,28,27
39,포항시,노인요양시설,사랑마을,포항시 북구 흥해읍 한동로106번길 28-33,054-262-1988,29,17
40,포항시,노인요양시설,간호나라요양원,포항시 북구 흥해읍 덕장길 278,054-262-7655,23,8
41,경주시,노인요양시설,명화의집,경주시 천사2길 22-2번지,054-742-5070,50,36
42,경주시,노인요양시설,천우요양원,경주시 현곡면 가막골길 141-30,054-745-4902,53,52
43,경주시,노인요양시설,은화의집,경주시 천사2길 22-2,054-744-5070,60,44
44,경주시,노인요양시설,민제의집,경주시 시래둑길 65,054-746-3952,60,41
45,경주시,노인요양시설,천우전문요양원,"경주시 현곡면 가막골길 141-30, 천우전문요양원",054-744-4901,85,76
46,경주시,노인요양시설,불국성림원,경주시 산내면 대현길 259-18,054-746-9900,65,33
47,경주시,노인요양시설,참사랑의집,경주시 양정로144-23,054-774-8868,19,18
48,경주시,노인요양시설,공영노인전문요양시설사랑원,경주시 귀격1길 21-52,054-777-2600,84,73
49,경주시,노인요양시설,노인요양시설하나,경주시 안강읍 구부랑두림길 131,054-763-1180,27,23
50,경주시,노인요양시설,경주황성요양원,경주시 황성로 64번길 30-30(황성동),054-746-1850,22,18
51,경주시,노인요양시설,늘푸른요양원,경주시 유림로13번길 155 늘푸른요양원,054-700-9231,64,60
52,경주시,노인요양시설,굿모닝요양원,경주시 건천읍 내서로 1079-4,054-751-0102,41,40
53,경주시,노인요양시설,예그린요양원,경주시 강동면 인좌안길108-17,054-762-3220,28,28
54,경주시,노인요양공동생활가정,사랑의보금자리,경주시 산내면 대현길 436-14,054-751-4966,9,7
55,경주시,노인요양공동생활가정,베다니노인의집,경주시외동읍구어공단1길 51-7,054-773-1291,9,9
56,경주시,노인요양공동생활가정,충효청심원,경주시충효녹지길68-4(충효동),054-772-5771,7,5
57,경주시,노인요양공동생활가정,낮은둥지공동체,경주시 산내면 문복로242-14,054-751-9911,9,7
58,경주시,노인요양공동생활가정,안강사랑요양원,경주시 안강읍 북부리2길 34-3,054-763-2588,9,9
59,경주시,노인요양공동생활가정,경주따뜻한집,경주시 내남면 구일길 253-62번길,054-775-0617,9,8
60,경주시,노인요양공동생활가정,동경주노인복지센터동경주요양원,경주시 양북면 감은로 27,054-744-2005,9,7
61,경주시,노인요양공동생활가정,나눔의집,경주시 충효 7길 13-9,054-777-7991,9,9
62,경주시,노인요양공동생활가정,예담요양원,경주시 안강읍 호계길 3-11,054-763-7381,9,8
63,경주시,노인요양공동생활가정,행복한노인의집,경주시 윗시래1길 5 (시래동),054-745-7453,9,8
64,김천시,노인요양시설,행복의 집,김천시 대항면 황악로 1522-10,054-435-6224,41,21
65,김천시,노인요양시설,김천노인요양원,김천시 대항면 황악로 1530-9,054-436-6225,37,23
66,김천시,노인요양시설,이레노인전문요양원,김천시 어모면 능치2길 49-105,054-435-8001,58,14
67,김천시,노인요양시설,월명성모의집노인전문요양원,김천시 남면 주천로 1448-16,054-435-8122,169,136
68,김천시,노인요양시설,직지사노인요양원,김천시 대항면 북암길 211 ,054-431-9800,94,54
69,김천시,노인요양시설,본향원,김천시 조마면 금감로 804-271,054-435-8880,32,28
70,김천시,노인요양시설,김천실버빌,김천시 어모면 용문산길 165-73,054-434-5920,28,21
71,김천시,노인요양시설,참빛종합실버센터,김천시 가메실길 8(부곡동),054-436-5744,49,47
72,김천시,노인요양시설,소망요양원,김천시 구성면 하강길 494,054-433-5355,29,17
73,김천시,노인요양시설,천사의손길노인요양원,김천시 구성면 하강길 471,054-436-0535,21,16
74,김천시,노인요양시설,효사랑노인요양원,김천시 체육공원길 87(덕곡동),054-439-9700,28,27
75,김천시,노인요양시설,효노인요양원,김천시 감천면 광기3길 62-28,054-437-5055,28,22
76,김천시,노인요양시설,행복한동행노인요양원,김천시 물망골길 57-42(삼락동),054-435-8835,49,49
77,김천시,노인요양시설,한마음노인요양센터,김천시 미곡길 154-3(백옥동),054-436-7377,21,21
78,김천시,노인요양시설,잡은손시니어홈,김천시 자산로 108-1(성내동),054-432-2788,25,23
79,김천시,노인요양시설,김천행복한요양원,김천시 남면 초곡1길 105-69,054-431-7722,20,20
80,김천시,노인요양시설,햇살요양원,김천시 봉산면 덕천1길 207,054-430-9005,16,13
81,김천시,노인요양시설,명심요양원,김천시 어모면 구례길 151-36,054-431-2200,16,0
82,김천시,노인요양시설,마루실버타운,김천시 아포읍 금계길 43-18,054-430-8228,46,34
83,김천시,노인요양시설,은혜의집,김천시 구성면 송죽6길 109-119,054-436-1377,28,28
84,김천시,노인요양시설,인덕요양원,김천시 구성면 미평2길 95-23,054-435-7137,29,29
85,김천시,노인요양시설,우리요양원,김천시 영남대로 1321 2~4층(백옥동),054-436-4208,28,29
86,김천시,노인요양시설,김천실버케어노인요양원,"김천시 평화3길 41, 1~3층(평화동)",054-439-1011,29,28
87,김천시,노인요양시설,김천효캐슬요양원,김천시 남산공원3길 19 (남산동),054-435-6928,135,9
88,김천시,노인요양시설,내마음요양원,김천시 양지마길 31-9(부곡동),054-433-5959,41,30
89,김천시,노인요양시설,굿모닝실버빌,김천시 황산3길 55,054-437-8200,47,23
90,김천시,노인요양공동생활가정,효심원,김천시 어모면 작점로 962-5,054-431-9188,9,9
91,김천시,노인요양공동생활가정,나이팅게일과천사들시니어빌,김천시 시청1길 136-12(신음동),054-430-0099,9,9
92,김천시,노인요양공동생활가정,참사랑노인요양복지센터,김천시 시민로 26(부곡동),054-430-2399,9,9
93,김천시,노인요양공동생활가정,다사랑실버빌,김천시 감문면 감문로 975-6,054-432-1366,9,9
94,김천시,노인요양공동생활가정,온유노인복지센터,김천시 영남대로1242(다수동),054-436-3052,9,9
95,김천시,노인요양공동생활가정,희망노인요양원,김천시 구성면 남김천대로3296-14,054-434-6616,9,10
96,김천시,노인요양공동생활가정,해피맘실버빌,김천시 대항면 황악로 1371,054-432-6655,9,10
97,김천시,노인요양공동생활가정,가족노인요양공동생활가정,"김천시 봉산면 상금길 433, 1층",054-430-9373,9,9
98,김천시,노인요양공동생활가정,미소가가득한집,"김천시 봉산면 상금길 433, 2층",054-435-1367,9,9
99,김천시,노인요양공동생활가정,평화노인복지센터,김천시 평화장미길 41-5(평화동),054-439-5550,9,8
100,김천시,노인요양공동생활가정,참조은노인요양원,김천시 구성면 남김천대로 3296-12,054-435-2050,9,7
101,김천시,노인요양공동생활가정,백세요양원,김천시 어모면 금산길 10,054-432-6004,9,7
102,김천시,노인요양공동생활가정,늘사랑요양원,김천시 구성면 남김천대로 3296-16,054-431-8335,9,9
103,김천시,노인요양공동생활가정,송천실버홈,김천시 아포읍  숭산길 7,054-434-8252,9,9
104,김천시,노인요양공동생활가정,효심실버빌,김천시 해오름2로2길 34(율곡동),054-437-6707,9,9
105,김천시,노인요양공동생활가정,광제노인요양센터,김천시 충효길 40(성내동),054-437-6978,9,3
106,김천시,노인요양공동생활가정,우리들다함께 사회적협동조합 어르신복지센터,김천시 거문들길32(삼락동),054-437-7401,7,2
107,김천시,노인요양공동생활가정,행복100세 노인요양원,김천시 영남대로 1351-12(백옥동),054-434-0326,9,0
108,안동시,노인요양시설,안동단비마을,안동시 서후면 이송천한터길 45-53,054-841-3753,60,49
109,안동시,노인요양시설,애명노인마을,안동시 북후면 광평2길 106-25,054-859-6372,71,51
110,안동시,노인요양시설,실버케어빌,안동시 임하면 고곡길 238,054-821-7591,95,91
111,안동시,노인요양시설,신라요양원,안동시 길안면 잉골길 42,054-823-3505,80,57
112,안동시,노인요양시설,안동효마을,경상북도 안동시 북후면 산약길 149,054-857-7787,54,34
113,안동시,노인요양시설,안동유리요양원,안동시 남후면 홍문길 6,054-853-5100,96,92
114,안동시,노인요양시설 ,안동병원전문요양센터,안동병원전문요양센터,054-851-8200,96,72
115,안동시 ,노인요양시설,혜성요양원,안동시 경동로1462-62(송천동),054-821-9050,62,62
116,안동시,노인요양시설,아름다운마을,안동시 임하면 충효로 2589,054-822-2525,60,58
117,안동시,노인요양시설,재우요양원,안동시 남선면 무선리길 387번지,054-853-6800,28,29
118,안동시,노인요양시설,나천요양원,안동시 경동로342,054-854-3200,29,28
119,안동시,노인요양시설,명성솔빛요양원,안동시 남후면 암산길 84,054-857-1117,21,19
120,안동시,노인요양시설,전원일기요양원,안동시 와룡면 가야길 20-17,054-854-0800,28,28
121,안동시,노인요양공동생활가정,청룡사연꽃마을요양원,안동시 와룡면 웃골1길 56,054-843-9908,8,8
122,안동시,노인요양공동생활가정,노인요양공동생활가정 사랑의집,안동시 녹전면 녹전로 752-11,054-856-5347,9,9
123,구미시,노인요양시설,사회복지법인교육회 성심요양원,구미시 선산읍 선주로 11길 16,054-481-3289,91,89
124,구미시,노인요양시설,구미기독실버빌,구미시 산업로 276-3(원평동),054-457-0790,20,19
125,구미시,노인요양시설,아성금오실버요양원,구미시 선기로 155-23 (선기동),054-450-4500,90,77
126,구미시,노인요양시설,효은노인복지타운,구미시 옥성면 구봉1길 154,054-531-0203,70,24
127,구미시,노인요양시설,구미천사요양원,구미시 고아읍 이례로 46,054-482-5001,28,28
128,구미시,노인요양시설,천사효도마을,구미시 선산읍 조남로7길 18,054-481-400,29,28
129,구미시,노인요양시설,청담실버요양원,구미시 산업로 252,054-458-6112,43,35
130,구미시,노인요양시설,구미실버하우스,구미시 황산길119,054-482-8090,59,51
131,구미시,노인요양시설,선산실버타운,구미시 선산읍 선상동로 104,054-456-7887,140,71
132,구미시,노인요양시설,노인요양시설 구미탑,구미시 박정희로25길 8-27(광평동),054-457-6161,26,26
133,구미시,노인요양시설,노인요양시설 행복요양원,"구미시 상모로 55, 행복요양원 3~5F",054-461-8889,49,50
134,구미시,노인요양시설,노인요양시설 참사랑,구미시 구미중앙로 42길 9,054-452-1122,29,29
135,구미시,노인요양시설,노인요양시설 구미간호사의집,구미시 고아읍 들성로15길22-11,054-452-6571,28,28
136,구미시,노인요양시설,노인요양시설보은다사랑,구미시 고아읍들성로6길 19-35,054-443-9090,28,29
137,구미시,노인요양시설,노인요양시설엔젤,구미시 선산읍 단계동길 128,054-482-7701,28,28
138,구미시,노인요양시설,길노인복지센터,구미시 상사동로 201,054-464-4200,99,96
139,구미시,노인요양시설,노인요양시설 효구미실버힐,구미시 수점로 24-22,054-454-3800,71,70
140,구미시,노인요양시설,강동노인복지타운,구미시 인동가산로 473-38,054-473-5008,78,73
141,구미시,노인요양시설,경희한방요양원,구미시 인동26길 6.,054-481-0500,37,35
142,구미시,노인요양시설,햇살실버타운,구미시 구미중앙로 42길8,054-4512273,45,42
143,구미시,노인요양시설,늘기쁨실버하우스,구미시 산동면 적림3길98,054-475-7090,21,21
144,구미시,노인요양시설,사랑방요양원,구미시 야은로 483,054-443-0303,38,25
145,구미시,노인요양시설,노인요양시설금빛가족,구미시 고아읍 들성로 11길 45-36,054-442-0678,26,27
146,구미시,노인요양시설,은가람노인복지타운,구미시 선산읍 유학길 467,054-481-5252,17,13
147,구미시,노인요양시설,오경실버랜드 노인복지센터,"구미시 봉곡북로 13길 23, 오경실버랜드 노인복지센터",054-456-3927,21,21
148,구미시,노인요양시설,노인요양시설 로뎀나무실버타운,구미시 고아읍 들성로 9길 20-39,054-454-5578,23,21
149,구미시,노인요양시설,영남힐실버타운,구미시 무을면 무을들길100,054-481-1400,60,36
150,구미시,노인요양시설,구미천사요양원,구미시 고아읍 이례로 46,054-482-5001,28,28
151,구미시,노인요양시설,선산하나,구미시 교리2길 3(선산읍),054-482-0071,11,11
152,구미시,노인요양시설,삼성실버타운,구미시 송원서로2길31,054-455-0800,29,24
153,구미시,노인요양시설,노인요양시설 구미효드림,구미시 칠성로100,054-444-1471,28,4
154,구미시,노인요양공동생활가정,노인요양공동생활가정 효구미2관,구미시 고아읍 원대로 200,054-441-0365,9,9
155,구미시,노인요양공동생활가정,심청노인복지센터,구미시 야은로 188,054-442-9991,9,9
156,구미시,노인요양공동생활가정,노인요양공동생활가정 꽃마실,구미시 선산읍 선산동로 125-40,054-481-9600,9,9
157,구미시,노인요양공동생활가정,태양의서쪽,구미시 고아읍 선산대로 974-4,070-4132-7837,9,9
158,구미시, 노인요양공동생활가정,사랑가득한집,구미시 형곡서로 32 ,054-457-4896,9,9
159,구미시,노인요양공동생활가정,노인요양공동생활가정 강남,구미시 송원서로 82 ,054-455-0119,9,9
160,구미시,노인요양공동생활가정,노인요양공동생활가정  화목,구미시 야은로 9길 23-1 (봉곡동),054-600-8009,9,6
161,구미시,노인요양공동생활가정,구미효심노인복지센터,구미시 봉곡북로 5,054-443-5241,9,9
162,구미시,노인요양공동생활가정,구미한겸복지센타,구미시 선산대로 51,054-443-0546,9,8
163,구미시,노인요양공동생활가정,노인요양공동생활가정 브니엘,구미시 고아읍 횡산3길159,054-482-5811,9,7
164,구미시,노인요양공동생활가정,은빛실버빌,구미시 금오대로 335 은빛실버빌,054-457-0322,9,9
165,구미시,노인요양공동생활가정,삼성실버홈노인복지센터,구미시 봉곡로 18길 21-11,054-451-0500,9,8
166,구미시,노인요양공동생활가정,공동생활가정인동행복,구미시 인동18길26-6,054-475-8810,9,6
167,구미시,노인요양공동생활가정,자연숲속실버홈,구미시 고아읍 이례로2길 31,054-481-8886,9,8
168,영주시,노인요양시설,간호전문노인요양원,영주시 문수면 문수로1499번길 85-2(2층),054-631-7332,29,27
169,영주시,노인요양시설,간호전문요양원,영주시 문수면 문수로1499번길 85-2,054-632-7333,29,27
170,영주시,노인요양시설,노인전문요양원사랑채,영주시 봉현면 소백로 1101-9,054-636-7733,18,17
171,영주시,노인요양시설,다락원실버텔,영주시 조와로277번길 238(조와동),054-635-7217,70,61
172,영주시,노인요양시설,문수효마을,영주시 문수면 문수로1499번길 85-1,054-637-3388,49,49
173,영주시,노인요양시설,물댄동산,영주시 풍기읍 동양대로129번길 208-48,054-637-1166,22,23
174,영주시,노인요양시설,부석에덴요양원,영주시 부석면 사문로 45-9,054-633-0970,17,15
175,영주시,노인요양시설,새희망실버힐스,영주시 반지미로 275-19(가흥동),054-639-8888,100,96
176,영주시,노인요양시설,성심요양원,영주시 풍기읍 소백로1916번길 6,054-630-2558,20,19
177,영주시,노인요양시설,소망의집,영주시 조와로277번길 233(조와동),054-636-9793,64,47
178,영주시,노인요양시설,영주노인전문요양원,영주시 반지미로 236-50(가흥동),054-635-5558,98,83
179,영주시,노인요양시설,영주소규모요양센터,영주시 반지미로 236-50(가흥동),054-635-5555,21,21
180,영주시,노인요양시설,영주실버마을,영주시 영봉로 125-19(휴천동),054-631-8800,25,26
181,영주시,노인요양시설,이당원,영주시 안정면 장안로 709-25,054-631-6000,63,62
182,영주시,노인요양시설,인애가장수마을,영주시 안정면 장안로 709-25,054-633-6300,96,95
183,영주시,노인요양시설,평강소규모요양센터,영주시 조와로277번길 233(조와동),054-637-9790,20,20
184,영주시,노인요양시설,풍기노인전문요양원,영주시 풍기읍 신재로 1054,054-637-1234,57,46
185,영주시,노인요양시설,행복한요양원,영주시 봉현면 노좌로 28,054-633-1133,46,8
186,영주시,노인요양시설,효성요양원,영주시 장수면 장수로255번길 31,054-637-9117,29,0
187,영주시,노인요양시설,효자손요양원,영주시 지천로 35(휴천동),054-632-2004,25,25
188,영주시,노인요양공동생활가정,신희망원,영주시 안정면 용주로 1278-6,054-632-1430,9,7
189,영주시,노인요양공동생활가정,선비촌요양원,영주시 순흥면 회헌로884번길 27-40,054-638-6353,9,9
190,영주시,노인요양공동생활가정,은빛둥지,영주시 순흥면 회헌로884번길 27-40,054-633-6353,9,8
191,영천시,노인요양시설,마야노인전문요양원,영천시 북안면 내서로 55-24,054-335-0056,76,51
192,영천시,노인요양시설,자광원(주식회사 덕원),영천시 금호읍 칠백로 339,054-338-6100,24,15
193,영천시,노인요양시설,마야실비노인요양원,영천시 북안면 고지길 42-6,054-333-3993,84,84
194,영천시,노인요양시설,은해사 포근한집,영천시 청통면 대동로 424,054-335-3314,50,36
195,영천시,노인요양시설,포은실버타운,영천시 임고면 효자로 241-18,054-336-9988,44,16
196,영천시,노인요양시설,영남실버케어,영천시 양지길 128 (화룡동),054-338-4242,18,18
197,영천시,노인요양시설,온누리요양원,"영천시 완산4길 194 (완산동, 온누리요양원)",054-336-6630,25,24
198,영천시,노인요양시설,영천석미노인요양원,"영천시 최무선로 335 (문외동, 영천석미노인요양원)",054-335-0000,29,27
199,영천시,노인요양시설,경북요양원,영천시 창대서원1길 9-3 (과전동),054-338-0075,28,28
200,영천시,노인요양시설,영천행복마을요양원,영천시 장천4길 26-24 (조교동),054-338-1138,25,25
201,영천시,노인요양시설,우리들요양원,영천시 금호읍 금호로 424,054-338-5388,42,32
202,영천시,노인요양공동생활가정,장수노인요양공동생활가정,"영천시 수원지길 75 (성내동, 장수노인요양공동생활가정)",054-331-0001,9,9
203,영천시,노인요양공동생활가정,우리실버타운공동생활가정, 영천시 완산4길 127 (완산동),054-334-1500,9,9
204,영천시,노인요양공동생활가정,대자연노인요양공동생활가정,영천시 천문로 72-33 (도동),054-335-8878,9,9
205,영천시,노인요양공동생활가정,새화남노인요양공동생활가정,영천시 화남면 한천길 10-37,054-333-6787,9,9
206,영천시,노인요양공동생활가정,단포공동생활가정,영천시 고경면 단포구보길 65,054-337-8899,9,9
207,영천시,노인요양공동생활가정,새봄노인요양공동생활가정,영천시 화남면 한천길 10-37,054-331-1301,9,8
208,영천시,노인요양공동생활가정,효담채실버홈,영천시 담안7길 2 (금노동),054-338-8122,9,9
209,상주시,노인요양시설,강남실버요양원,상주시 상산로 255,054-534-8899,22,21
210,상주시,노인요양시설,매호요양원,상주시 사벌국면 운성진길 128,054-534-1211,25,24
211,상주시,노인요양시설,물댄동산요양원,상주시 낙동면 영남제일로 717-15,054-531-0297,29,29
212,상주시,노인요양시설,복음실버요양원,상주시 모서면 삼포4길 10-17,054-532-3587,20,14
213,상주시,노인요양공동생활가정,복음의집요양원,상주시 모서면 삼포4길 10-17,054-534-1534,9,8
214,상주시,노인요양시설,상주노인요양원,상주시 낙동면 신상양지길28,054-536-9325,28,26
215,상주시,노인요양시설,상주보림원,상주시 화남면 평온3길 181,054-536-0061,70,33
216,상주시,노인요양시설,상주실버빌노인요양원,상주시 가장막골길 51,054-532-8998,18,18
217,상주시,노인요양시설,상주연세실버타운,상주시 낙동면 영남제일로 841,054-533-1600,127,88
218,상주시,노인요양시설,상주은광마을,상주시 낙동면 백두점길 10-16,054-534-7241,105,99
219,상주시,노인요양시설,솔내음실버빌요양원,상주시 청리면 월로3길 95,054-534-7505,26,26
220,상주시,노인요양시설,운정골드에이지요양원,상주시 공검면 화동 1길 94-66,054-536-1680,80,79
221,상주시,노인요양시설,정혜요양원,상주시 내서면 영남제일로 3224,054-532-5788,29,28
222,상주시,노인요양시설,푸른초장요양원1,상주시 영남제일로1112-43,054-534-5700,22,21
223,상주시,노인요양시설,푸른초장요양원2,상주시 영남제일로1112-41,054-536-5701,29,30
224,상주시,노인요양시설,하늘지기요양원,상주시 낙동면 영남제일로 397-136,054-534-5509,29,26
225,상주시,노인요양공동생활가정,하은실버홈,상주시 낙동면 영남제일로125-17,054-532-7733,9,9
226,상주시,노인요양시설,해바라기요양원,상주시 내서면 상평길 51-75,054-535-4563,22,23
227,상주시,노인요양시설,희망실버타운,상주시 사벌국면 배목길 138-24,054-534-6641,62,61
228,상주시,노인요양시설,희망요양원,상주시 사벌국면 배목길 138-26,054-532-9915,53,49
229,문경시,노인요양시설,문경어르신마을,경북 문경시 마성면 안늘목2길 100-24,054-571-5071,68,52
230,문경시,노인요양시설,문경시시립간호센터,문경시 문경읍 여우목로 51,054-550-8100,46,29
231,문경시,노인요양시설,인효마을,문경시 마성면 은성로 1086,054-572-3631,96,67
232,문경시,노인요양시설,봄마을,문경시 마성면 마성길 106-18,054-571-6071,98,89
233,문경시,노인요양시설,예사랑,문경시 운동장로 56,054-555-6928,74,74
234,문경시,노인요양시설,행복동산,문경시 가은읍 대야로 2545,054-572-3305,48,42
235,문경시,노인요양시설,문경실버홈,문경시 매봉5길 18,054-555-2300,29,29
236,문경시,노인요양시설,문경효사랑,문경시 중앙4길 12,054-553-9182,48,48
237,문경시,노인요양시설,초록요양원,문경시 농암면 무운로 212,054-572-0880,29,29
238,문경시,노인요양시설,효도마을요양원,문경시 농암면 승리동길 25,054-535-7027,23,14
239,문경시,노인요양시설,해오름,"문경시 당교로 245, 센텀타워 5층",054-556-8252,25,24
240,문경시,노인요양시설,문경연꽃종합복지센터,문경시 신기유곡길101,054-553-7570,16,14
241,문경시,노인요양공동생활가정,문경노인요양공동생활가정,문경시 산북면 종곡길 94-12,054-553-8033,9,8
242,문경시,노인요양공동생활가정,고향마을,문경시 영순면 새발재길 28-25,054-552-2004,9,9
243,문경시,노인요양공동생활가정,에덴요양원,문경시 신흥로 78-26,054-554-8688,9,9
244,문경시,노인요양공동생활가정,우리보금자리 노인요양공동생활가정,문경시 점촌1길 41-2,054-554-4878,9,9
245,문경시,노인요양공동생활가정,사랑둥지,문경시 마성면 동성길 24-8,054-571-4377,9,8
246,문경시,노인요양공동생활가정,행복한집,문경시 마성면 신현3길 16-8,054-571-9626,9,10
247,문경시,노인요양공동생활가정,가장좋은노인요양원,문경시 갈밭길 17-1,054-556-6777,9,8
248,문경시,노인요양공동생활가정,밝은빛 요양원,문경시 우지공평로 166,054-555-7276,9,9
249,경산시,노인요양시설,보현요양원,경산시 와촌면 상암길37길 64-1,053-851-8661,49,43
250,경산시,노인요양시설,서린요양원,경산시 남산면 성산로 55,053-853-0028,78,78
251,경산시,노인요양시설,보현전문요양원,경산시 와촌면 상암길37길 64,053-853-3535,112,57
252,경산시,노인요양시설,동오요양원,경산시 평산1길 37-35(평산동),053-810-0091,88,81
253,경산시,노인요양시설,다사랑효마을요양원,경산시 계양로37길 9(계양동),053-801-5300,90,87
254,경산시,노인요양시설,효원전문요양원,경산시 남산면 전지공단길 131-8,053-852-3588,72,70
255,경산시,노인요양시설,상암요양원,경산시 와촌면 상암길37길 64,053-851-8662,29,27
256,경산시,노인요양시설,아가다요양원,경산시 경안로 87(삼남동),053-815-2700,29,21
257,경산시,노인요양시설,그린요양원,경산시 와촌면 하양로 355,053-263-3537,48,41
258,경산시,노인요양시설,사랑요양원,경산시 경안로33길 1(삼북동),053-811-3889,35,22
259,경산시,노인요양시설,영제요양원,경산시 자인면 금학로 8-11,053-851-7376,29,24
260,경산시,노인요양시설,사랑지기어르신마을요양원,경산시 원효로 28길 10(계양동),053-801-9989,80,79
261,경산시,노인요양시설,참행복노인요양원,경산시 장산로 244(계양동),053-811-8555,29,15
262,경산시,노인요양시설,경산효자손요양원,경산시 화랑로8길 20-3(갑제동),053-801-5100,29,29
263,경산시,노인요양시설,노인요양시설경산제일실버타운,경산시 압량면 부적길79,053-817-0038,20,17
264,경산시,노인요양시설,로뎀의집요양원,경산시 속초길 9길 7-5,053-815-7006,29,7
265,경산시,노인요양시설,전원요양원,경산시 화랑로 8길 45(갑제동),053-801-1180,25,24
266,경산시,노인요양시설,에벤에셀실버타운요양원,"경산시 강변동로 264 2,3,5층(중방동)",053-801-9005,16,14
267,경산시,노인요양시설,행복요양원,경산시 옥실길 91-26(옥곡동),053-813-6051,28,27
268,경산시,노인요양시설,보금자리요양원,경산시 남매로4길 13-15(상방동),053-814-6687,29,28
269,경산시,노인요양시설,동방실버타운요양원,경산시 하양읍 금호강변로 660,053-851-0101,79,76
270,경산시,노인요양시설,자인하늘손요양원,경산시 자인면 계정길 71-6번지,053-851-0900,41,33
271,경산시,노인요양공동생활가정,무학재활요양원,경산시 진량읍 대구대로 69길,053-857-8687,29,26
272,경산시,노인요양시설,세림요양원,경산시 자인면 원효로 851-3,053-851-7800,15,15
